stop_id,stop_name,Borough,Rides2019,Rides2020,Linked,node_link,stop_lat,stop_lon,ratio20to19,zRatio20to19
617,Cypress Av,Bx,1043922,507795,1,617,40.805368,-73.914042,0.48643002063372554,0.8100233184693623
618,Brook Av,Bx,1823468,949904,1,618,40.807566,-73.91924,0.5209326404411813,1.1967519179104378
619,3 Av-138 St,Bx,2503850,1271192,1,619,40.810476,-73.926138,0.5076949497773429,1.0483749657013142
621,125 St,M,8554857,3587673,1,621,40.804138,-73.937594,0.41937264410147357,0.058399080854027535
622,116 St,M,4572453,2052609,1,622,40.798629,-73.941617,0.4489076213577264,0.38944699699999136
623,110 St,M,3316061,1468770,1,623,40.79502,-73.94425,0.4429261102253547,0.3224021918323725
624,103 St,M,4039570,1851275,1,624,40.7906,-73.947478,0.4582851640149818,0.49455681063958246
625,96 St,M,5145222,2219217,1,625,40.785672,-73.95107,0.4313160831544295,0.1922691893627556
626,86 St,M,13537308,5155496,1,626,40.779492,-73.955589,0.38083613078759826,-0.37354411373193586
627,77 St,M,7821286,3190550,1,627,40.77362,-73.959874,0.4079316368177816,-0.06983943400974019
628,68 St-Hunter College,M,6699711,2511235,1,628,40.768141,-73.96387,0.374827361956359,-0.44089444154583113
629,59 St,M,16760813,6273480,2,LINK_629,40.762526,-73.967967,0.3742944927552142,-0.44686719842615036
630,51 St,M,18957465,5718725,2,LINK_630,40.757107,-73.97192,0.30166084969693996,-1.2609939867391786
631,Grand Central-42 St,M,45745700,13162826,3,LINK_326,40.751776,-73.976848,0.2877390880454338,-1.417038467282538
632,33 St,M,8934900,3078482,1,632,40.746081,-73.982076,0.3445457699582536,-0.7803109185445661
633,28 St,M,5834989,2230478,1,633,40.74307,-73.984264,0.3822591610712548,-0.3575938319379195
634,23 St,M,8659806,2677996,1,634,40.739864,-73.986599,0.3092443410395106,-1.1759931084826203
635,14 St-Union Sq,M,32385260,10830712,3,LINK_635,40.734673,-73.989951,0.33443338111227144,-0.8936573831676714
636,Astor Pl,M,5502925,1684189,1,636,40.730054,-73.99107,0.30605341704638894,-1.2117591336038835
637,Bleecker St,M,12455155,4062645,2,LINK_637,40.725915,-73.994659,0.32618180986105755,-0.9861465509751728
638,Spring St,M,3754272,1123745,1,638,40.722301,-73.997141,0.29932434304174016,-1.2871831269086134
639,Canal St,M,15861864,4881373,4,LINK_312,40.718803,-74.000193,0.307742709179703,-1.1928244096783054
640,Brooklyn Bridge-City Hall,M,9065146,2710023,2,LINK_640,40.713065,-74.004131,0.2989497356137452,-1.2913819792501795
701,Flushing-Main St,Q,17568837,6944923,1,701,40.7596,-73.83003,0.39529782193323326,-0.211447739789564
702,Mets-Willets Point,Q,2025162,311888,1,702,40.754622,-73.845625,0.15400644491650545,-2.9160039970139287
705,111 St,Q,3836999,2119770,1,705,40.75173,-73.855334,0.552455186983369,1.5500778491906504
706,103 St-Corona Plaza,Q,6399657,3311294,1,706,40.749865,-73.8627,0.5174174178397374,1.1573509355802136
707,Junction Blvd,Q,6883317,3622647,1,707,40.749145,-73.869527,0.5262937912056063,1.2568433062771411
708,90 St-Elmhurst Av,Q,5272683,2661934,1,708,40.748408,-73.876613,0.5048537907551052,1.0165293419315524
709,82 St-Jackson Hts,Q,4893865,2297896,1,709,40.747659,-73.883697,0.4695462584276436,0.6207787408780895
710,74 St-Broadway,Q,17077862,7523538,2,LINK_710,40.746848,-73.891394,0.4405433185957352,0.2956942584978856
711,69 St,Q,1564387,743488,1,711,40.746325,-73.896403,0.47525835998381477,0.6848038220751387
712,61 St-Woodside,Q,5345369,2391083,1,712,40.74563,-73.902984,0.4473186041973903,0.37163622250420003
713,52 St,Q,1907368,847430,1,713,40.744149,-73.912549,0.44429286849732197,0.3377217390216031
714,46 St-Bliss St,Q,4019044,1769578,1,714,40.743132,-73.918435,0.44029824007898394,0.29294725342797406
715,40 St-Lowery St,Q,3074342,1236614,1,715,40.743781,-73.924016,0.40223696647933116,-0.13366913437909245
716,33 St-Rawson St,Q,2907388,956400,1,716,40.744587,-73.930997,0.3289550620694589,-0.9550620725084051
718,Queensboro Plaza,Q,5018211,1790223,2,LINK_718,40.750582,-73.940202,0.35674526240526755,-0.6435707911497707
719,Court Sq,Q,7033377,2368959,3,LINK_719,40.747023,-73.945264,0.33681672402886975,-0.8669432706374485
720,Hunters Point Av,Q,1885928,705574,1,720,40.742216,-73.948916,0.37412562939836513,-0.4487599326549015
721,Vernon Blvd-Jackson Av,Q,4623070,1768317,1,721,40.742626,-73.953581,0.38249842637035564,-0.35491198532648843
723,Grand Central-42 St,M,45745700,13162826,3,LINK_326,40.751431,-73.976041,0.2877390880454338,-1.417038467282538
724,5 Av,M,17213702,5405394,2,LINK_724,40.753821,-73.981963,0.3140169383668894,-1.1224986234141392
725,Times Sq-42 St,M,65020294,20341240,5,LINK_127,40.755477,-73.987691,0.31284447898682216,-1.1356403377675799
726,34 St-Hudson Yards,M,6108384,2092769,1,726,40.755882,-74.00191,0.34260599857507323,-0.8020531825940663
901,Grand Central-42 St,M,45745700,13162826,3,LINK_326,40.752769,-73.979189,0.2877390880454338,-1.417038467282538
902,Times Sq-42 St,M,65020294,20341240,5,LINK_127,40.755983,-73.986229,0.31284447898682216,-1.1356403377675799
A02,Inwood-207 St,M,3150731,1260062,1,A02,40.868072,-73.919899,0.3999268741127059,-0.15956220541283056
A03,Dyckman St,M,2079656,1055222,2,LINK_109,40.865491,-73.927271,0.5074021857461042,1.0450934692700433
A05,190 St,M,1535450,562043,1,A05,40.859022,-73.93418,0.3660444820736592,-0.5393388743179108
A06,181 St,M,3523536,1682772,2,LINK_111,40.851695,-73.937969,0.4775804759764055,0.7108316620063049
A07,175 St,M,4182625,1665946,1,A07,40.847391,-73.939704,0.3983015450823347,-0.17777998780309864
A09,168 St,M,6156288,3265733,2,LINK_112,40.840719,-73.939561,0.5304711215589654,1.3036656382036045
A10,163 St-Amsterdam Av,M,1390312,617596,1,A10,40.836013,-73.939892,0.44421396060740326,0.33683728624893217
A11,155 St,M,895036,367255,1,A11,40.830518,-73.941514,0.41032427745923067,-0.043021106317608165
A12,145 St,M,7464653,3111334,2,LINK_A12,40.824783,-73.944216,0.41680892601437736,0.029663201934762837
A14,135 St,M,1743921,667495,1,A14,40.817894,-73.947649,0.38275529682823933,-0.3520328082387914
A15,125 St,M,9208598,3863203,1,A15,40.811109,-73.952343,0.4195212995507025,0.06006531124465905
A16,116 St,M,2288111,896442,1,A16,40.805085,-73.954882,0.39178256649262205,-0.25084909020329194
A17,Cathedral Pkwy (110 St),M,2396624,934145,1,A17,40.800603,-73.958161,0.38977536735007245,-0.2733471299906879
A18,103 St,M,1498363,579191,1,A18,40.796092,-73.961454,0.38654918734645743,-0.3095083282215895
A19,96 St,M,3038864,1194638,1,A19,40.791642,-73.964696,0.39311992902610976,-0.2358590302482242
A20,86 St,M,3232637,1188684,1,A20,40.785868,-73.968916,0.3677134178690648,-0.5206323179370873
A21,81 St-Museum of Natural History,M,4407607,1275973,1,A21,40.781433,-73.972143,0.289493369077597,-1.3973753040102839
